"","X","id_post","текст","оценка","address","оценка1"
"18",17,38954,"['#шаверма_Площадь_Восстания', '#шаверма_Восстания #шаверма_разнообразие ', '', 'ОЦЕНКА: 7 из 10', 'АДРЕС: Лиговский пр., д. 11', '', 'Годы идут, и сакральные места в городе на Неве, подобно магнитным полюсам, дрейфуют и дрейфуют, не считаясь ни с субъективной красотой локаций, ни с их доступностью. Было время, когда городское полотно на километр от Лиговского за площадью Восстания находилось и у меня в этом статусе. Иногда от зимы хочется отдохнуть, и тогда путь лежит туда.', '', 'Миновав все площадки Ресторанных дней и БКЗ (нет, не Ионотека) Октябрьский, я обнаружил ещё одно порождение той шавермоволны, которая до сих пор, вот уже после третьего года, не улеглась и неясно, уляжется ли теперь. Быстро проскочив дизайн вывески (он показался мне несколько нелепым), я стал рассматривать внутренний интерьер и меню. ', '', 'И то, и другое радует разнообразием. Часть зала представляет собой стойку у стены перед зеркалом, другая содержит обычные столики. Стены отделаны досками, обилие зеркальных панно и досок с меловыми узорами. В общем, для заведений подобного формата выполнена милая и принятая здесь норма. На кассе находятся забавные макеты обычной и двойной шаверм.', 'Что касается меню, то оно, пожалуй, самое широкое среди виденных мной заведений. Помимо классической шавермы с курой, имеется шаверма с говядиной, с тофу, с баклажанами (зачем? для чего?), яблочная, банановая, буррито и фалафель. Мой же выбор пал на шаверму с тремя видами мяса, где кура и свинина дополнялись чем-то загадочным под названием ""грудинка"". Ну да ладно. Цены чуть выше среднего: 180 стоит любой из вышеперечисленных свёртков, 270 за двойной. Фруктовые роллы стоят по 200. Закрытую кухню можно отнести к минусам заведения. Персонал очень вежлив.', '', 'Когда шаверму принесли, оказалось, что она запакована в своего рода термопакет или даже скорее термобумагу. Выглядит это внушительно, но и в хорошем смысле смешно, создавая впечатление гротескной монументальности. После смеха настала пора слёз: размер порции никак не тянул на 180 рублей. Мне показалось, что в шаверме было меньше 300 граммов. Хотя одна небезызвестная сеть деградирует столь стремительно, что подобные соотношения скоро перестанут удивлять. И всё же, и всё же - даже со скидкой на формат заведения и мои невысокие обычно потребности в количестве пищи - маловато.', '', 'Дальше начинается чистая вкусовщина. Свинина, обладая достаточно специфическим по сравнению с курицей и даже с говядиной вкусом, может показаться многим неуместной в шаверме. Про себя такого не скажу, мне сочетание понравилось, хоть и показалось необычным. Однако ощущается резкий контраст между хорошо прожаренной, хоть и не засохшей курой и чересчур нежной свининой. Из овощей удалось идентифицировать капусту, лук (обычно прошу не класть, но позабыл), томаты. Насчёт огурцов твёрдой уверенности нет. Соус неклассический, сакральной функции ТСС не несёт, но с задачей своей справляется на отлично: обеспечивает сочность всей шавермы, не размачивая при этом лаваш. До самого последнего укуса шаверма не развалилась. Лаваш, к слову, напоминает скорее тортилью, свиток заворачивается не до конца, в виде открытого рукава и едва ли не в один слой. В сочетании с прочностью закручивания это можно отнести к плюсам.', '', 'Из напитков есть чай, морс, различное пиво и довольно простенький разливной сидр. Зато есть чуть более широкая линейка бутылочного пива и грушевый ирландский сидр Магнерс, что не может не радовать меня как представителя сидроэлиты. В конечном счёте основных минуса два (или один - это как посмотреть): слишком высокая цена для такого небольшого размера. В остальном всё радует: от ассортимента и дизайна до качества самой шавермы. Ставлю этому заведению 7 дюрумов из 10, первая шаверма со свининой, что я попробовал.']","['ОЦЕНКА: 7']","АДРЕС: Лиговский пр., д. 11'",7
"19",18,38940,"['#шаверма_Проспект_Просвещения ', '', 'АДРЕС: улица Композиторов, 31А', 'ОЦЕНКА: 6,5 из 10', '', 'Пол дня промотавшись по городу, возвращался домой и решил наконец-то устроить тест-драйв этого храма возле дома. ', 'Шаверма находится довольно далеко от метро, и подходит исключительно для ""локального"" пользования, причём поблизости у неё конкуренции ноль. ', 'Ассортимент в храме неплохой, однако самой богини мало. Лаваш, пита, на тарелке. Зато есть пиццы, самсы и т.д. Также обильный ассортимент напитков. Само помещение чистое, аккуратное, и комфортное. Есть плазма, где крутят ТВ. За помещение претензий нет.', 'Взяв стандарт в лаваше (150р), был удивлён скоростью. Очереди нет. Шавермье в одноразовых перчатках, однако он единственный, кого я заметил из персонала. Весьма неразговорчивый и неприветливый парень, хладнокровно выполняющий свою работу)', 'А теперь к самой богине. Соотношение овощей/мяса 60 на 40. ', 'Мясо хорошее, без хрящей и кожи, сочное. К нему ноль придирок. ', 'Овощи особо не удивили. Ассортимент не большой, классика во всём своём стиле. Но опять же, всё свежее. ', 'Соус обычный, был немного пересолен, но вкус не портил. Лаваш не хрустит, но и не резиновый. Сама богиня не течёт, весьма тёплая после отдачи. ', 'И казалось бы, стандартная шавуха, весьма вкусная, ставь 7,5, а то и 8, и иди гуляй дальше, если бы не одно но. Сытность никакая. Я был не слишком голодный, но чувства насыщения не было и вовсе. Или сравнимо с бутербродом. Сама богиня явно не вышла из подросткового возраста и была весьма мала. В общем, разочарование полное. Шаверма со своей главной целью не справилась. ', 'Вернусь ли я туда? Нет. Посоветую ли кому-то? Только с лютой голодухи. И берите сразу две. Или идите к метро.', '6,5 голодных искателей из 10.']","['ОЦЕНКА: 6,5']","АДРЕС: улица Композиторов, 31А'",6.5
"20",19,38901,"['#шаверма_Академическая', '', 'ОЦЕНКА: ? из 10', 'АДРЕС: проспект Науки 21В ', '', 'ВНИМАНИЕ: фотографии в этом обзоре наполнены болью и страданиями. ', '', 'Заведение находится за ТЦ ""Академический"" по проспекту Науки. ', 'Помещение вытянутое, около 6 столиков по 4 места. ', 'Цены можете увидеть на фото. ', 'Повар работал в перчатках, деньги принял кассир, есть вторая кухня, где женщина делает заготовки. ', 'Приготовили 2 шавермы очень быстро. ', 'Теперь о шаверме:', '-Жарят шаверму на жарочной поверхности, а не ростере, но споры о том, как жарить шаверму вкуснее будут продолжаться долгое время ', '-Мясо вкусное и сочное ', '-50/50 соотношение мяса к овощам ', '-Аджика в шаверме вкусная ', '-Огурцы и помидоры свежие ', '-Лук не горчит ', '-Соус чесночный в меру. Жидковат ', '-Есть немного свежей зелени ', 'Ну а теперь о грустном:', '-В первой шаверме был длинный женский волос. Видимо, попал туда из овощной заготовки', '-Вторая шаверма почти сразу же развалилась ', '', 'В общем, мы не знаем, что ставить этой шаверме, потому что на вкус она очень хорошая, а вот структура и волос нас огорчили очень сильно. По этому случаю другой опрос.']","[]","АДРЕС: проспект Науки 21В '",NA
"21",20,38869,"['#шаверма_Пионерская ', '#шаверма_КомендантскийПроспект ', '#шаверма_Коменда ', ' ', 'ОЦЕНКА: 7,5-8 из 10. ', 'АДРЕС: Богатырский 7, к8, пересечение Богатырского пр-та и Серебристого бульвара. ', ' ', 'Волей случая оказался в этом районе на днях и решил написать свой обзор на данное заведение. ', 'Сначала о помещении и персонале: ', 'Все помещение выполнено в стиле одной известной, но скатившейся (увы) сети. Даже меню как будто скопировано из этой сетки. Сидячих мест всего 2. Эрг барные стулья за стойкой, столов нет. Думаю, что стоит поставить еще пару стульев, место позволяет. Помещение маленькое, но уютное. Уборной, увы, нет. В заведении работает только повар. Он принимает заказ и деньги, после чего приступает к готовке, надев перчатки. ', 'Меню и цены: ', 'Имеются шаверма в лаваше, пите за 160, двойные по 180, так же есть сырный лаваш (170 рублей) и шаверма на тарелке за 200. Чай стоит 30 рублей, кофе 45. Также можно взять к шаверме пива. ', ' ', 'Сама шаверма: ', '-Приготовили быстро ', ' -Размер хороший, шаверма увесистая ', '-Лаваш был прожарен средне, я люблю более сильную прожарку, но это на любителя ', '-Соотношение мяса к овощам 35 на 65 ', '-Все овощи свежие и сочные ', '-Есть свежая зелень, что не может не быть плюсом, как по мне ', '-Соус был немного пересолен. При этом в нем не ощущались другие специи ', '-Шаверма держала форму и не развалилась, не протекла ', ' ', 'To sum up, мы имеем уютное маленькое чистое помещение, но можно сделать побольше сидячих мест. К заказу я бы давал одноразовые салфетки, чтобы человек, который ест в заведении, мог их продезинфицировать. К меню и ценам нареканий нет. В самой шаверме поработал бы над соусом и степенью прожарки. Если окажусь в этом районе еще раз, то проверю, прислушались ли работники к советам своих клиентов. ', ' Пока что 7,5-8 из 10']","['ОЦЕНКА: 7,5']","АДРЕС: Богатырский 7, к8, пересечение Богатырского пр-та и Серебристого бульвара. '",7.5
"22",21,38829,"['#шаверма_техноложка', '#шаверма_технологический_институт', '#шаверма_московский', '', 'АДРЕС: Московский пр., через дорогу от метро Технологический институт.', 'ОЦЕНКА: 4, 5 из 10.', '', ' Решили с товарищем после сложной институской пары восполнить запасы сил и перекусить в знаменитой среди местных студентов ""Мармарисе"".', 'Брали там пару раз в прошлом году шаверму в лаваше, но, подавившись хрящом и дезориентировавшись в пространстве из-за запаха смрада, исходившего из под лаваша, решилили, что эта шаверма на любителя, и больше мы туда не ходили.', ' Перед основной частью обзора хочу сказать, что мы с другом толковые шаурмилье и отведали множество единиц этого райского блюда по всему С-Пб.', '', 'Итак,начнем.', 'Решили взять две в пите. Кстати, а вот и расценки на 07.02.2017', '', 'В пите - 130р', 'В лаваше - 150р (милиметровый по ширине червь)', 'На тарелке - 200', 'На тарелке с собой - 210', '', 'Сделали наш заказ довольно не быстро, но сразу скажу, что особенно бросилось в глаза - содержимое кладут не в саму питу, а на нее! И потом это дело заворачивают. (Видимо из-за экономии)', '', 'Шокированные таким способом приготовления, мы с Иваном незамедлительно проследовали к нашему столу, присели, отвернули бумажку и процесс пошел...', '', 'Мясо.', 'Довольно неплохо прожарено, вроде даже вкусное (относительно прошлого года) но суховато и с какими-то не очень приятными отдушками. ', 'Ни одного хряща на удивление!', 'Положили не очень то и много.', '', 'Овощи.', 'Положили совсем скормно. Шаурмен скудно ""плюнул"" огурцом и помидором в наши шавермы и, видимо, посчитал, что этими овощами можно ограничиться. ', 'Справедливости ради скажу, что они были довольно свежие, хоть и было их очень мало.', '', 'Соус.', 'Обычный соус, с небольшим специфическим привкусом. Но пованивает чуть-чуть странными добавками. Которые на мой взгляж не делают егр лучше.', 'Больше я ничего добавить особо не могу.', '', 'Пита.', 'Малыш, суховат малость, но в целом потянет. Не учитывая ощущения, что мне положили мясо и овощи в сырое тесто.', '', 'В конце поедания, как я дошел до конца, шаверма у меня развалилась..', '', 'Резюмируя, скажу, шаверма так себе, из всего вышесказанного, я вам объяснил, почему она не вкусная, соотношения мяса к овощам - 1 огрызок огурца к 2 кускам мяса. Она маленькая(правда чего хотеть от 130р, но все равно, хочется большего даже за такие деньги). Содержимого совсем не много, в основном все залито соусом.', '', 'В общем, если вы хотите отведать вкусной шавы и насладиться процессом поедания, то идти туда я вам не рекомендую.', ' Ставлю честные 4,5 балла.', '', 'Пишу этот пост и рыгаюсь этой шавой.', '', 'Всем хорошего дня, берегите свои желудки.']","['ОЦЕНКА: 4']","АДРЕС: Московский пр., через дорогу от метро Технологический институт.'",4
"23",22,38808,"['#шаверма_Звездная ', '', 'ОЦЕНКА: 7 из 10. ', 'АДРЕС: Ленсовета 87, к1. ', '', 'Недавно недалеко от станции «Звездная» открылось новое заведение под названием Pita Grill. Вообще не часто ем у этой станции метро, но тут решил попробовать после недавнего обзора. Пошли с другом оценить шаверму, потому что хотелось чего-то нового. ', '', 'Заведение небольшое, в нем около 6 посадочных мест за стойками, туалета и раковины нет. Работает один приветливый и общительный человек, который является поваром-кассиром-владельцем одновременно. Он рассказал нам, что готовит больше не классическую шаверму, к которой все привыкли, а ее вариации на домашний лад. ', 'В меню есть классика (150 в лаваше, 220 на тарелке), бурито (150), кесадилья (180), грибная(180), фалафель (150), десертная (150). Также есть картофель фри, доп соус на выбор и напитки (чай 25 рублей, кофе 30). ', '', ' Я заказал кесадилью, а друг все же решил пройтись по классике. Готовили шаверму минут 5. Порадовало то, что к заказу дают влажные салфетки за неимением раковины. ', 'Также мне понравился гриль, на котором жарят шаверму. Думаю, что с ним можно придумать много новых блюд и поэкспериментировать со степенью прожарки. Да и вообще рабочая зона современная и чистая. ', '', 'Итак, кесадилья включает в себя острый томатный соус, курицу и сыр. Обычно для приготовления кесадильи тортилья складывается пополам, но здесь ее делают в виде ролла как бурито, что я считаю не лучшим решением, потому что сыр тянется и его не откусить. Также мне кажется не лучшим решением добавлять острый соус в саму кесадилью, так как обычно он подается как дополнение к блюду вместе с каким-нибудь гарниром вроде овощей, грибов или картофеля. Но, несмотря на то, что техника приготовления кесадильи в этом заведении не классическая, это вкусное и сытное блюдо, которое мне понравилось, потому что она не потекла и не развалилась, прожарена была в меру, а начинка была свежей и вкусной. ', 'Другу его классическая шаверма тоже понравилась. Соус хороший, соотношения мяса и овощей тоже было оптимальным, голод утолил. Она немного протекла, но пакетик не дал соусу попасть на руки и одежду. ', '', 'Что я могу сказать об этом заведении? ', 'Да, это не шаверма в классическом понимании. Это скорее ролл или же домашняя шаверма. Но я считаю, что такие заведения имеют место быть, потому что это все равно вкусно, владелец не очень сильно отходит от классических рецептов (чего не сказать об одном сетевом заведении, которое называет роллы с крайне необычными сочетаниями и ингредиентами «питерской классикой») и с любовью относится к своему делу. ', 'Но все же я бы посоветовал владельцу подумать о сокращении меню на пару позиций и переосмыслению той же кесадильи, так как больше не всегда значит лучше. Если разом придет три человека и закажет классику, грибную и бурито, то процесс приготовления займет слишком много времени, что не есть хорошо. ', '', 'Надеюсь, что мои пожелания будут услышаны и это заведение еще покажет себя с лучшей стороны. Пока что 7 из 10 за вкусную вариацию на тему шавермы, энтузиазм и любовь к своему делу.']","['ОЦЕНКА: 7']","АДРЕС: Ленсовета 87, к1. '",7
"24",23,38750,"['#шаверма_Садовая ', '#шаверма_Сенная ', ' ', 'АДРЕС: Апраксин переулок, 4 ', 'ОЦЕНКА: 6 из 10 ', ' ', 'Вспомним одно важное событие из истории нашего города, а именно геноцид шавермы на Сенной. Это был ужасный и болезненный период жизни для нас, но многие заведения нашли свое пристанище в близлежащих районах. Так самая известная точка переехала на Апраксин переулок 4, но речь в этом обзоре пойдет не о ней, а об открывшихся пару дней назад конкурентах, которые расположились в двух шагах от старой проверенной «классики»! ', ' ', 'Заведение называется «Евро донер». Помещение такое же вытянутое, сидячие места расположены за стойками у стен. Пройдя прямо, мы попадаем к кассиру и повару. В меню же вы не увидите куриной шавермы (хотя она там есть, если спросить), а говядину! Меня это очень удивило, и я не мог не попробовать шаверму в месте, которое специализируется и делает акцент именно на говядину. Кроме шавермы с говядиной и курицей, есть самса и другого рода пирожки и напитки. К шаверме с говядиной любой напиток идет бесплатно, что не может не радовать. Цены можно увидеть на фото. ', ' ', 'Шаверму готовили минут 5, подают разрезанной пополам на подносе с выбранным вами напитком. Цены на блюда можете увидеть на фото. ', 'Из начинки мы можем увидеть говядину, помидоры, огурцы и острый соус. Блюдо имеет хорошую степень прожарки, не разваливается, но соус жидковат и к концу одна из частей шавермы немного протекла. Само же блюдо очень вкусное и интересное: мясо качественное, но, может, немного передержано, овощи тоже, соус очень приятный и прекрасно дополняет говядину. Размер средний. Я ей не особо наелся, но голод утолил. Может, можно делать ее и побольше. ', ' ', 'В общем, всем советую самим туда зайти, если будет возможность, и рассказать о своих впечатлениях.', '', 'UPD: пара товарищей сходили в это заведение. Сегодня, например, было пережарено мясо и много лаваша, оценили на 5 из 10. Видимо, уже успели скатиться за неделю после открытия. Или же был другой повар, но этого мы не знаем. В самсе также было много теста. Поэтому снижаю свои первичные 7 из 10 до 6.']","['ОЦЕНКА: 6']","АДРЕС: Апраксин переулок, 4 '",6
"25",24,38679,"['#шаверма_Ладожская ', ' ', 'АДРЕС: Энтузиастов 33 ', 'ОЦЕНКА: 7,5 из 10 ', '', 'В двух остановках трамвая от метро Ладожская и 10 минутах ходьбы, находится заведение Shawarma Store. Это заведение открылось совсем недавно, но, несмотря на это, люди, которые живут в окрестностях , возвращаются сюда вновь. ', 'Заведение небольшое, но милое и уютно, а самое главное – чистое. Все столы убраны, грязи нигде нет. Посадочных мест около 16 – 4 стола и по 2 диванчика на 2 человек у каждого стола. Есть туалет с раковиной, что не может не порадовать. ', 'Работает один человек. Повар принимает заказ, интересуется, что положить в шаверму, после чего берет деньги, моет руки и надевает перчатки. ', 'В меню есть шаверма в пите, в лаваше, на тарелке и Royal – шаверма на тарелке с картошкой. Из напитков есть чай, кофе и пиво «Капитан», которое варят на пивоварне в Солнечном (стоит 100 рублей за 0,5). Цены можете увидеть на фото. Наш заказ, состоящий из двух шаверм в лаваше, делали минут 7. ', ' ', 'Теперь о шаверме: ', '-Средний хороший размер ', '-Жарят не в ростере, а на плитке ', '-Форма квадратная, заворачивают очень странно. С одной стороны 5 слоев лаваша, с другой 3, что не очень удобно, как по мне ', '-Соус очень нежный и вкусный. Привкус сметаны и свежести. Но он жидковат, из-за чего может немного потечь по рукам ', '-Не смотря на соус и форму, шаверма не развалилась и не потекла ', '-Соотношение овощей к мясу 40/60 ', '-Мясо свежее и сочное, хрящей не попадалось, как и кожи ', '-Овощи тоже свежие. Огурцы хрустящие, помидоры сочные и спелые ', '-Кроме огурцов и помидоров по вашему усмотрению можно добавить морковь по-корейски, капусту и лук ', '-Лук был горьковат. Повар, видимо, его не ошпаривает ', ' ', 'Пиво, кстати, очень даже хорошее. Брал «Янтарное». Приятные цитрусовые нотки, очень освежает и не сильно дает в голову. ', ' ', 'Подводя итоги, к минусам можно отнести то, что кому-то может не понравиться форма, так как ее надо уметь есть. Но в случае изменения формы, придется делать соус более густым, иначе шаверма будет течь. Так же повторюсь, что лук нужно ошпаривать, чтобы из него ушла горечь. И еще у меня возник вопрос к картошке: она жарится во фритюре, после чего кладется в поддон, что как по мне неправильно, ибо картошка должна быть свежеприготовленной и клиент должен это понимать. Поэтому лучше подождать свой заказ на 5 минут дольше, чем есть уже потерявшую свои вкусовые качества остывшую жареную картошку. ', 'Ну а к плюсам можно отнести качество ингредиентов, чистоту помещения, наличие туалета, работу мастера в перчатках, средние по городу цены за очень даже качественную продукцию и хорошее пиво. Думаю, это лучшее, но пока мало кому известное, место в данном районе. Чисто субъективно я бы поставил этой шаверме 9 из 10 только из-за лука, так как у меня нет претензий к форме «конвертику», жидкости соуса и тому, что шаверму жарят на плитке. ', 'Ну а если смотреть более объективно, то ставлю заведению 7,5-8 из 10. Есть к чему стремиться. :)']","['ОЦЕНКА: 7,5']","АДРЕС: Энтузиастов 33 '",7.5
"26",25,38497,"['#шаверма_Владимирская ', '#шаверма_Достоевская ', ' ', 'ОЦЕНКА: 8 из 10 ', 'АДРЕС: Щербаков переулок, 12А (за вестибюлем метро «Достоевская») ', ' ', 'В нашем городе много так называемых secret place’ов: улица Джона Леннона, «дядя Фади», Чуфальни и многое другое. Одним из таких мест можно назвать лавашерию LAVAШ, которую не увидишь с улицы. Расположилась она во дворе за метро Достоевская. Вы не найдете никаких опознавательных знаков с улицы, так что питаются там в основном работники соседних офисов или случайно зашедшие во двор люди. ', '', 'Попадая в данное заведения, мы сразу же видим большую кухню, которая вся на виду. Встречает вас администратор-кассир, который стоит за кассой и принимает заказы. В этой части зала так же стоит холодильник-витрина, в котором расположились прохладительные напитки и «холодные роллы», но об этом позже. Пройдя во вторую часть зала, мы видим 3 столика с модными металлическими стульями и 3 барных стула. Барная стойка разделяет зал с кухней, весь процесс готовки прекрасно виден клиентам. Вообще весь интерьер выполнен в достаточно «хипстерском», но при этом очень приятном стиле сочетания металла и дерева. Во всем нет вычурности и пафосности, что присуще многим современным кафе. Есть где вымыть руки, туалет же находится в «Нарнии» - в шкафу в конце заведения. ', 'Теперь перейдем к ассортименту.', ' ', 'Роллы ака шаверма делятся на холодные и горячие. Холодные, как я уже говорил, можно увидеть в холодильнике-витрине на кассе. Среди них есть сало в ржаной пите, рыбные роллы и десертная шаверма. Также есть салаты и тортики.', '', 'Горячие блюда делятся на мясные (шаверма с говядиной, бараниной), рыбные (треска и тунец), куриные и овощные (сюда же входит фалафель). Кроме того есть аппетайзеры. Не буду расписывать обо всех блюдах, ибо это займет слишком много времени, просто посмотрите на меню (фото прилагается) и поймете всю широту выбора. К тому же можно смело сказать, что многих из представленных начинок не найдешь в других заведениях. ', '', 'Из напитков мы с товарищем взяли морс и чай, которые нам очень понравились. Морс свежий, а чай большого объема (0,25), в хорошем стакане с крышкой и это не «гринфилд», а качественный насыщенный чай. ', 'Из алкоголя присутствует настоящий бельгийский крик (бутылочный) и бутылочный крафтовый эль, которого не встретишь в магазинах, так как его производят «друзья заведения». Но нас очень удивило, что там продается сидр Самерсби, который никак не вписывается в общий уровень заведения. Но нам рассказали о том, что скоро в меню появится домашний (!!!) сидр и дали его попробовать. Как человек, который разбирается в сидре, могу сказать, что это настоящий домашний сидр из яблок и сахара без добавления дрожжей. После я взял с собой крафтовый цитрусовый эль, который тоже оказался очень качественным и интересным.', ' ', 'Ну а теперь перейдем к самому главному – шаверме! ', 'Повар готовит в перчатках, в рабочей зоне стоят закрытые контейнеры с заготовками. ', 'Я взял себе курицу по-тайски. Повар поинтересовался, какие ингредиенты класть и хочу ли я более острую шаверму (есть соус табаско и чили). Готовилась шаверма минут 5, подается в пакетике, бумаге и коробочке! Такого подхода к подаче шавермы я еще не видел, если честно. ', 'В состав курицы по-тайски входит фунчоза, курица в соусе терияки, лук и морковь. Все ингредиенты свежие, но курицу бы я резал более мелкими кусками, как это делают в классической шаверме. До самого конца блюдо не развалилось, держало форму и не протекло. Также нам шавермы обжаривали на жарочной поверхности, хотя в заведении есть ростер. Повар это объяснил тем, что они в данный момент ищут идеальный баланс между прожаркой и скоростью подачи, поэтому экспериментируют и жарят свои блюда по-разному. Как по мне, лучше клиент подождет свое блюдо на 1 минуту дольше, но у лаваша будет красивый узор и более равномерная прожарка. ', '', 'Скажу пару слов о персонале. ', 'Все работники заведения очень общительные и делают все, чтобы заинтересовать своих клиентов. Я не люблю, когда в некоторых заведениях с клиентами общаются навязчиво, но здесь этого замечено не было. Мы пообщались с администратором и нам сказали, что открыто заведение лишь около месяца и ходят в него в основном работники близлежащих офисов. Повар же рассказал нам о том, что в заведении есть вторая кухня, где делаются заготовки, после чего попадают на открытую кухню и находятся в контейнерах. Дороговизну шавермы с тунцом (350 рублей) он объяснил не на словах, а просто показав нам тунца – это вовсе не консервы, а филе, которую привозят в кафе в вакуумных упаковках.В общем, относится он к своему делу очень серьезно и думает ввести новые блюда в меню. ', '', 'Думаю, что пора сделать какие-то выводы и подвести итоги. Данное заведение – золотая середина между хорошей шавермой и чем-то хипстерским (ну вы поняли, какие заведения имеются ввиду). Многие в комментариях будут кричать о том, что все куплено, вес маленький (хотя шаверма весит в районе 350 граммов), а цены слишком высокие, хотя они оправданы качеством сырья и уровнем готовых блюд. ', 'Но я могу сказать лишь одно: это то место, в которое хочется вернуться, чтобы спокойно посидеть с товарищем, попробовать что-нибудь новое и еще раз убедиться в том, что стритфуд еще жив. ', 'Мой итоговый балл: 8 из 10.']","['ОЦЕНКА: 8']","АДРЕС: Щербаков переулок, 12А (за вестибюлем метро «Достоевская») '",8
"27",26,38464,"['#Шаверма_Невский', '#Шаверма_Спасская', '#Шаверма_Сенная_площадь', '#Шаверма_Садовая', '', 'Адрес: Апраксин переулок, дом 4', 'Оценка: 6,5 из 10', '', 'Обзор на заведение с гордым названием ""Настоящая шаверма"". Располагается она в небольшом узком помещении, что не очень удобно. Туалета нет, есть несколько посадочных мест. Есть кассир и жокей, который работает без перчаток, но деньги не принимает. В меню все по стандарту, цены низкие:', 'В лаваше - 130', 'В сырном лаваше - 140', 'В пите - 90', 'Был также фалафель, но цену я не помню.', 'В меню были также напитки. Что очень приятно, дали морс в подарок.', '', 'Теперь о шаверме.', 'Лаваш вкусный хрустящий отлично прожаренный. Овощи свежие, очень вкусные (кроме маринованных огурцов). Овощи можно выбрать по желанию. В ассортименте огурцы, томаты, лук, корейская капуста и морковка.', 'Соус очень порадовал. Классика. Не течет, не очень жирный. По желанию можно добавить острую аджику. Мясо очень вкусное - курица без жилок и хрящей, но его не очень много. Мясо/овощи: 25/75, но при этом шаверма довольно сытная. Расстроила структура. Под конец шаверма начала разваливаться. Это довольно существенный минус.', 'Но в целом шаверма неплохая, далеко не самая лучшая, но достойная. Ничего особенного не увидел. Шаверма, как шаверма. Соотношение цена качество хорошее. 6,5/10']","['Оценка: 6,5']","Адрес: Апраксин переулок, дом 4'",6.5
